"Species","TaxID"
"Carex calcifugens","653367"
"Carex careyana","69852"
"Carex caroliniana","912400"
"Carex cephalophora","100277"
"Carex chapmanii","912402"
"Carex cherokeensis","312732"
"Carex collinsii","312733"
"Carex communis","140800"
"Carex comosa","312735"
"Carex complanata","312736"
"Carex corrugata","653369"
"Carex crawei","912406"
"Carex crebriflora","912407"
"Carex crinita","312737"
"Carex crus-corvi","312738"
"Carex cumberlandensis","912410"
"Carex dasycarpa","418156"
"Carex debilis","140802"
"Carex decomposita","312739"
"Carex digitalis","140804"
"Carex eburnea","140807"
"Carex elliottii","912423"
"Carex festucacea","314419"
"Carex fissa","432989"
"Carex flaccosperma","653370"
"Carex floridana","247938"
"Carex folliculata","312743"
"Carex frankii","912430"
"Carex gholsonii","912432"
"Carex gigantea","912433"
"Carex glaucescens","912435"
"Carex godfreyi","653372"
"Carex gracilescens","912437"
"Carex gracillima","140820"
"Carex granularis","418164"
"Carex gravida","472443"
"Carex grayi","100279"
"Carex gynandra","418165"
"Carex hirsutella","912445"
"Carex hyalinolepis","912448"
"Carex hystericina","312748"
"Carex intumescens","312749"
"Carex joorii","418168"
"Carex kraliana","912453"
"Carex laevivaginata","312750"
"Carex laxiculmis","912457"
"Carex laxiflora","69859"
"Carex leavenworthii","140826"
"Carex leptalea","100281"
"Carex lonchocarpa","912463"
"Carex longii","314432"
"Carex louisianica","912464"
"Carex lucorum","247924"
"Carex lupuliformis","912466"
"Carex lupulina","140830"
"Carex lurida","140831"
"Carex manhartii","912470"
"Carex meadii","912471"
"Carex mesochorea","432998"
"Carex misera","312755"
"Carex mitchelliana","657481"
"Carex muehlenbergii","312756"
"Carex nigromarginata","247934"
"Carex normalis","314441"
"Carex oligocarpa","312758"
"Carex oxylepis","912484"
"Carex pedunculata","140846"
"Carex pensylvanica","69862"
"Carex picta","140847"
"Carex pigra","653377"
"Carex planispicata","653378"
"Carex plantaginea","69863"
"Carex platyphylla","912492"
"Carex prasina","140851"
"Carex projecta","312761"
"Carex purpurifera","912496"
"Carex radfordii","912497"
"Carex radiata","312763"
"Carex reniformis","314460"
"Carex retroflexa","472449"
"Carex reznicekii","912498"
"Carex roanensis","912500"
"Carex rosea","312766"
"Carex ruthii","433006"
"Carex scabrata","312767"
"Carex scoparia","314463"
"Carex seorsa","433008"
"Carex socialis","433009"
"Carex sparganioides","418181"
"Carex squarrosa","312770"
"Carex stipata","240665"
"Carex striata","912514"
"Carex striatula","912515"
"Carex stricta","301498"
"Carex styloflexa","912516"
"Carex superata","69868"
"Carex swanii","312772"
"Carex tenax","312773"
