Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ARPU9",,"Aristida purpurea Nutt.",purple threeawn
"ARPUF",,"Aristida purpurea Nutt. var. fendleriana (Steud.) Vasey",Fendler's threeawn
"ARPUL",,"Aristida purpurea Nutt. var. longiseta (Steud.) Vasey",Fendler threeawn
"ARRU4",,"Armoracia rusticana G. Gaertn., B. Mey. & Scherb.",horseradish
"ARDI7",,"Arnica ×diversifolia Greene (pro sp.) [amplexicaulis or mollis × cordifolia or latifolia]",rayless arnica
"ARAM2",,"Arnica amplexicaulis Nutt.",clasping arnica
"ARAN5",,"Arnica angustifolia Vahl",narrowleaf arnica
"ARANT",,"Arnica angustifolia Vahl ssp. tomentosa (Macoun) G.W. Douglas & G. Ruyle-Douglas",narrowleaf arnica
"ARCH3",,"Arnica chamissonis Less.",Chamisso arnica
"ARCHC",,"Arnica chamissonis Less. ssp. chamissonis ",Chamisso arnica
"ARCHI3",,"Arnica chamissonis Less. ssp. chamissonis var. interior Maguire",Chamisso arnica
"ARCHF",,"Arnica chamissonis Less. ssp. foliosa (Nutt.) Maguire",Chamisso arnica
"ARCHA2",,"Arnica chamissonis Less. ssp. foliosa (Nutt.) Maguire var. andina (Nutt.) Ediger & T.M. Barkley",Chamisso arnica
"ARCHM2",,"Arnica chamissonis Less. ssp. foliosa (Nutt.) Maguire var. maguirei (A. Nelson) Maguire",Chamisso arnica
"ARCO9",,"Arnica cordifolia Hook.",heartleaf arnica
"ARFU3",,"Arnica fulgens Pursh",foothill arnica
"ARGR14",,"Arnica gracilis Rydb.",smallhead arnica
"ARLA8",,"Arnica latifolia Bong.",broadleaf arnica
"ARLO5",,"Arnica lonchophylla Greene",longleaf arnica
"ARLOA",,"Arnica lonchophylla Greene ssp. arnoglossa (Greene) Maguire",seep arnica
"ARLO6",,"Arnica longifolia D.C. Eaton",spearleaf arnica
"ARMO4",,"Arnica mollis Hook.",hairy arnica
"ARPA13",,"Arnica parryi A. Gray",Parry's arnica
"ARPAP3",,"Arnica parryi A. Gray ssp. parryi ",Parry's arnica
"ARRY",,"Arnica rydbergii Greene",Rydberg's arnica
"ARSO2",,"Arnica sororia Greene",twin arnica
"AREL3",,"Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl",tall oatgrass
"ARELE",,"Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl var. elatius ",tall oatgrass
"ARAB3",,"Artemisia absinthium L.",absinthium
"ARAN3",,"Artemisia annua L.",sweet sagewort
"ARAR8",,"Artemisia arbuscula Nutt.",little sagebrush
"ARARA",,"Artemisia arbuscula Nutt. ssp. arbuscula ",little sagebrush
"ARARL",,"Artemisia arbuscula Nutt. ssp. longiloba (Osterh.) L.M. Shultz",little sagebrush
"ARAR9",,"Artemisia arctica Less.",boreal sagebrush
"ARARA2",,"Artemisia arctica Less. ssp. arctica ",boreal sagebrush
"ARBI2",,"Artemisia biennis Willd.",biennial wormwood
"ARBIB",,"Artemisia biennis Willd. var. biennis ",biennial wormwood
"ARCA12",,"Artemisia campestris L.",field sagewort
"ARCAB2",,"Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem.",field sagewort
"ARCAB4",,"Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem. var. borealis (Pall.) M. Peck",field sagewort
"ARCAS5",,"Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem. var. scouleriana (Hook.) Cronquist",field sagewort
"ARCAC",,"Artemisia campestris L. ssp. caudata (Michx.) H.M. Hall & Clem.",field sagewort
"ARCA13",,"Artemisia cana Pursh",silver sagebrush
"ARCAC5",,"Artemisia cana Pursh ssp. cana ",silver sagebrush
"ARCAV2",,"Artemisia cana Pursh ssp. viscidula (Osterh.) Beetle",silver sagebrush
