Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AVMAR",,"Avicennia marina (Forssk.) Vierh. var. resinifera (G. Forst.) Bakh.",gray mangrove
"AXFI",,"Axonopus fissifolius (Raddi) Kuhlm.",common carpetgrass
"AYCO",,"Ayenia compacta Rose",California ayenia
"AZFI",,"Azolla filiculoides Lam.",Pacific mosquitofern
"AZMI",,"Azolla microphylla Kaulf.",Mexican Mosquito Fern
"BABR",,"Baccharis brachyphylla A. Gray",shortleaf baccharis
"BADO",,"Baccharis douglasii DC.",saltmarsh baccharis
"BAEM",,"Baccharis emoryi A. Gray",Emory's baccharis
"BAMA13",,"Baccharis malibuensis R.M. Beauch. & J. Henrickson",Malibu baccharis
"BAPI",,"Baccharis pilularis DC.",coyotebrush
"BAPL",,"Baccharis plummerae A. Gray",Plummer's baccharis
"BAPLG",,"Baccharis plummerae A. Gray ssp. glabrata Hoover",smooth baccharis
"BAPLP",,"Baccharis plummerae A. Gray ssp. plummerae ",Plummer's baccharis
"BASA4",,"Baccharis salicifolia (Ruiz & Pav.) Pers.",mule-fat
"BASA2",,"Baccharis sarothroides A. Gray",desertbroom
"BASE",,"Baccharis sergiloides A. Gray",desert baccharis
"BAVA3",,"Baccharis vanessae R.M. Beauch.",Encinitis false willow
"BAEI",,"Bacopa eisenii (Kellogg) Pennell",Gila River waterhyssop
"BAMO",,"Bacopa monnieri (L.) Pennell",herb of grace
"BARE",,"Bacopa repens (Sw.) Wettst.",creeping waterhyssop
"BARO",,"Bacopa rotundifolia (Michx.) Wettst.",disk waterhyssop
"BADI",,"Bahia dissecta (A. Gray) Britton",ragleaf bahia
"BAMU",,"Baileya multiradiata Harv. & A. Gray ex A. Gray",desert marigold
"BAPA",,"Baileya pauciradiata Harv. & A. Gray ex A. Gray",laxflower
"BAPL3",,"Baileya pleniradiata Harv. & A. Gray ex A. Gray",woolly desert marigold
"BATE3",,"Balsamorhiza ×terebinthacea (Hook.) Nutt. (pro sp.) [deltoidea × hookeri]",balsamroot
"BADE2",,"Balsamorhiza deltoidea Nutt.",deltoid balsamroot
"BAHO",,"Balsamorhiza hookeri (Hook.) Nutt.",Hooker's balsamroot
"BAHOH",,"Balsamorhiza hookeri (Hook.) Nutt. var. hirsuta (Nutt.) A. Nelson",hairy balsamroot
"BAHON",,"Balsamorhiza hookeri (Hook.) Nutt. var. neglecta (Sharp) Cronquist",neglected balsamroot
"BAIN",,"Balsamorhiza incana Nutt.",hoary balsamroot
"BALA8",,"Balsamorhiza lanata (Sharp) W.A. Weber",lanate balsamroot
"BAMA3",,"Balsamorhiza macrolepis Sharp",California balsamroot
"BAMAM",,"Balsamorhiza macrolepis Sharp var. macrolepis ",California balsamroot
"BAMAP",,"Balsamorhiza macrolepis Sharp var. platylepis (Sharp) Ferris",California balsamroot
"BASA3",,"Balsamorhiza sagittata (Pursh) Nutt.",arrowleaf balsamroot
"BASE4",,"Balsamorhiza sericea W.A. Weber",silky balsamroot
"BASE2",,"Balsamorhiza serrata A. Nelson & J.F. Macbr.",serrate balsamroot
"BAOR",,"Barbarea orthoceras Ledeb.",American yellowrocket
"BAVE",,"Barbarea verna (Mill.) Asch.",early yellowrocket
"BAVU",,"Barbarea vulgaris W.T. Aiton",garden yellowrocket
"BAAM4",,"Bassia americana (S. Watson) A.J. Scott",green molly
"BACA21",,"Bassia californica (S. Watson) A.J. Scott",rusty molly
"BAHY",,"Bassia hyssopifolia (Pall.) Kuntz",fivehorn smotherweed
"BASC5",,"Bassia scoparia (L.) A.J. Scott",burningbush
"BAMA5",,"Batis maritima L.",turtleweed
"BAGA",,"Bauhinia galpinii N.E. Br.",African plume
"BAVA",,"Bauhinia variegata L.",mountain ebony
"BEJU",,"Bebbia juncea (Benth.) Greene",sweetbush
"BEJUA",,"Bebbia juncea (Benth.) Greene var. aspera ",sweetbush
"BESY",,"Beckmannia syzigachne (Steud.) Fernald",American sloughgrass
"BETR",,"Bellardia trixago (L.) All.",Mediterranean lineseed
"BEPE2",,"Bellis perennis L.",lawndaisy
"BEOC",,"Benitoa occidentalis (H.M. Hall) D.D. Keck",benitoa
"BEOR",,"Bensoniella oregona (Abrams & Bacig.) Morton",Oregon bensoniella
"BEDA",,"Berberis darwinii Hook.",Darwin's berberis
"BEEM",,"Bergerocactus emoryi (Engelm.) Britton & Rose",golden snakecactus
"BETE",,"Bergia texana (Hook.) Seub. ex Walp.",Texas bergia
"BEMY",,"Bernardia myricifolia (Scheele) S. Watson",mouse's eye
"BEER",,"Berula erecta (Huds.) Coville",cutleaf waterparsnip
"BEVU2",,"Beta vulgaris L.",common beet
"BEGL",,"Betula glandulosa Michx.",resin birch
"BENA",,"Betula nana L.",dwarf birch
