Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AMPOP",,"Amaranthus powellii S. Watson ssp. powellii ",Powell's amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMTU",,"Amaranthus tuberculatus (Moq.) Sauer",roughfruit amaranth
"AMWR",,"Amaranthus wrightii S. Watson",Wright's amaranth
"AMAC2",,"Ambrosia acanthicarpa Hook.",flatspine bur ragweed
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARE",,"Ambrosia artemisiifolia L. var. elatior (L.) Descourtils",annual ragweed
"AMCO3",,"Ambrosia confertiflora DC.",weakleaf bur ragweed
"AMGR5",,"Ambrosia grayi (A. Nelson) Shinners",woollyleaf bur ragweed
"AMLI3",,"Ambrosia linearis (Rydb.) Payne",streaked bur ragweed
"AMPS",,"Ambrosia psilostachya DC.",Cuman ragweed
"AMTO3",,"Ambrosia tomentosa Nutt.",skeletonleaf bur ragweed
"AMTR",,"Ambrosia trifida L.",great ragweed
"AMTRT2",,"Ambrosia trifida L. var. trifida ",great ragweed
"AMAL2",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.",Saskatoon serviceberry
"AMALA",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. alnifolia ",Saskatoon serviceberry
"AMPU5",,"Amelanchier pumila (Torr. & A. Gray) Nutt. ex M. Roem.",dwarf serviceberry
"AMUT",,"Amelanchier utahensis Koehne",Utah serviceberry
"AMUTU",,"Amelanchier utahensis Koehne var. utahensis ",Utah serviceberry
"AMRO3",,"Ammannia robusta Heer & Regel",grand redstem
"AMCA6",,"Amorpha canescens Pursh",leadplant
"AMFR",,"Amorpha fruticosa L.",false indigo bush
"AMNA",,"Amorpha nana Nutt.",dwarf false indigo
"AMLY",,"Amsinckia lycopsoides Lehm.",tarweed fiddleneck
"AMME",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.",Menzies' fiddleneck
"AMMEM2",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. menziesii ",Menzies' fiddleneck
"AMJO",,"Amsonia jonesii Woodson",Jones' bluestar
"ANAR",,"Anagallis arvensis L.",scarlet pimpernel
"ANARF",,"Anagallis arvensis L. ssp. foemina (Mill.) Schinz & Thell.",poorman's weatherglass
"ANMI4",,"Anagallis minima (L.) Krause",chaffweed
"ANMA",,"Anaphalis margaritacea (L.) Benth.",western pearly everlasting
"ANAZ",,"Anchusa azurea Mill.",Italian bugloss
"ANOF",,"Anchusa officinalis L.",common bugloss
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"ANHA",,"Andropogon hallii Hack.",sand bluestem
"ANCH",,"Androsace chamaejasme Wulfen",sweetflower rockjasmine
"ANCHC",,"Androsace chamaejasme Wulfen ssp. carinata (Torr.) Hultén",sweetflower rockjasmine
"ANCHL",,"Androsace chamaejasme Wulfen ssp. lehmanniana (Spreng.) Hultén",Lehmann's rockjasmine
"ANFI",,"Androsace filiformis Retz.",filiform rockjasmine
"ANOC2",,"Androsace occidentalis Pursh",western rockjasmine
"ANSE4",,"Androsace septentrionalis L.",pygmyflower rockjasmine
"ANSEG2",,"Androsace septentrionalis L. ssp. glandulosa (Wooton & Standl.) G.T. Robbins",pygmyflower rockjasmine
"ANSEP2",,"Androsace septentrionalis L. ssp. puberulenta (Rydb.) G.T. Robbins",pygmyflower rockjasmine
"ANSES4",,"Androsace septentrionalis L. ssp. subulifera (A. Gray) G.T. Robbins",pygmyflower rockjasmine
"ANSES5",,"Androsace septentrionalis L. ssp. subumbellata (A. Nelson) G.T. Robbins",pygmyflower rockjasmine
"ANBR4",,"Androstephium breviflorum S. Watson",pink funnel lily
"ANCA8",,"Anemone canadensis L.",Canadian anemone
"ANCY",,"Anemone cylindrica A. Gray",candle anemone
"ANMU",,"Anemone multifida Poir.",Pacific anemone
"ANMUM3",,"Anemone multifida Poir. var. multifida ",Pacific anemone
"ANMUS",,"Anemone multifida Poir. var. saxicola B. Boivin",red windflower
"ANNA",,"Anemone narcissiflora L.",narcissus anemone
"ANNAZ2",,"Anemone narcissiflora L. var. zephyra (A. Nelson) Dutton & Keener",narcissus anemone
"ANPA",,"Anemone parviflora Michx.",smallflowered anemone
"ANPAP2",,"Anemone parviflora Michx. var. parviflora ",smallflowered anemone
"ANVI3",,"Anemone virginiana L.",tall thimbleweed
"ANVIV2",,"Anemone virginiana L. var. virginiana ",tall thimbleweed
"ANCA10",,"Anemopsis californica (Nutt.) Hook. & Arn.",yerba mansa
"ANGR2",,"Anethum graveolens L.",dill
"ANAM",,"Angelica ampla A. Nelson",giant angelica
"ANGR3",,"Angelica grayi (J.M. Coult. & Rose) J.M. Coult. & Rose",Gray's angelica
"ANPI2",,"Angelica pinnata S. Watson",small-leaf angelica
"ANRO",,"Angelica roseana L.F. Hend.",rose angelica
"ANCR2",,"Anoda cristata (L.) Schltdl.",crested anoda
"ANAN2",,"Antennaria anaphaloides Rydb.",pearly pussytoes
"ANCO",,"Antennaria corymbosa E.E. Nelson",flat-top pussytoes
"ANDI2",,"Antennaria dimorpha (Nutt.) Torr. & A. Gray",low pussytoes
"ANHO",,"Antennaria howellii Greene",Howell's pussytoes
"ANHON",,"Antennaria howellii Greene ssp. neodioica (Greene) Bayer",Howell's pussytoes
"ANLU2",,"Antennaria luzuloides Torr. & A. Gray",rush pussytoes
"ANLUL",,"Antennaria luzuloides Torr. & A. Gray ssp. luzuloides ",rush pussytoes
"ANMA5",,"Antennaria marginata Greene",whitemargin pussytoes
"ANME2",,"Antennaria media Greene",Rocky Mountain pussytoes
"ANMI3",,"Antennaria microphylla Rydb.",littleleaf pussytoes
"ANNE",,"Antennaria neglecta Greene",field pussytoes
"ANPA4",,"Antennaria parvifolia Nutt.",small-leaf pussytoes
"ANPU",,"Antennaria pulcherrima (Hook.) Greene",showy pussytoes
"ANPUP",,"Antennaria pulcherrima (Hook.) Greene ssp. pulcherrima ",handsome pussy-toes
"ANRO2",,"Antennaria rosea Greene",rosy pussytoes
"ANROA",,"Antennaria rosea Greene ssp. arida (E.E. Nelson) Bayer",rosy pussytoes
"ANROC",,"Antennaria rosea Greene ssp. confinis (Greene) Bayer",rosy pussytoes
"ANROP",,"Antennaria rosea Greene ssp. pulvinata (Greene) Bayer",pulvinate pussytoes
"ANROR",,"Antennaria rosea Greene ssp. rosea ",rosy pussytoes
"ANRO3",,"Antennaria rosulata Rydb.",Kaibab pussytoes
"ANUM",,"Antennaria umbrinella Rydb.",umber pussytoes
"ANAR6",,"Anthemis arvensis L.",corn chamomile
"ANCO2",,"Anthemis cotula L.",stinking chamomile
"ANTI",,"Anthemis tinctoria L.",golden chamomile
"ANOD",,"Anthoxanthum odoratum L.",sweet vernalgrass
"ANODO2",,"Anthoxanthum odoratum L. ssp. odoratum ",sweet vernalgrass
"APIN",,"Apera interrupta (L.) P. Beauv.",dense silkybent
"APAM",,"Apios americana Medik.",groundnut
"APFL",,"Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum]",
"APAN2",,"Apocynum androsaemifolium L.",spreading dogbane
"APCA",,"Apocynum cannabinum L.",Indianhemp
"AQBA",,"Aquilegia barnebyi Munz",oil shale columbine
"AQCH",,"Aquilegia chrysantha A. Gray",golden columbine
"AQCHR",,"Aquilegia chrysantha A. Gray var. rydbergii Munz",Rydberg's golden columbine
"AQCO",,"Aquilegia coerulea James",Colorado blue columbine
"AQCOC",,"Aquilegia coerulea James var. coerulea ",Colorado blue columbine
"AQCOD",,"Aquilegia coerulea James var. daileyae Eastw.",Dailey's columbine
"AQCOO",,"Aquilegia coerulea James var. ochroleuca Hook.",white Colorado columbine
"AQEL",,"Aquilegia elegantula Greene",western red columbine
"AQFL",,"Aquilegia flavescens S. Watson",yellow columbine
"AQFLF",,"Aquilegia flavescens S. Watson var. flavescens ",yellow columbine
"AQMI",,"Aquilegia micrantha Eastw.",Mancos columbine
"AQMIM",,"Aquilegia micrantha Eastw. var. mancosana ",Mancos columbine
"AQMIM2",,"Aquilegia micrantha Eastw. var. micrantha ",Mancos columbine
"AQPU",,"Aquilegia pubescens Coville",Sierra columbine
"AQSA",,"Aquilegia saximontana Rydb.",Rocky Mountain blue columbine
"AQSC",,"Aquilegia scopulorum Tidestr.",Utah columbine
"AQSCC",,"Aquilegia scopulorum Tidestr. var. calcarea (M.E. Jones) Munz",Utah columbine
"ARDI2",,"Arabis ×divaricarpa A. Nelson (pro sp.) [drummondii × holboellii]",spreadingpod rockcress
"ARCR5",,"Arabis crandallii B.L. Rob.",Crandall's rockcress
"ARDE",,"Arabis demissa Greene",nodding rockcress
"ARDED",,"Arabis demissa Greene var. demissa ",nodding rockcress
"ARDEL",,"Arabis demissa Greene var. languida Rollins",nodding rockcress
"ARDR",,"Arabis drummondii A. Gray",Drummond's rockcress
"ARFE",,"Arabis fendleri (S. Watson) Greene",Fendler's rockcress
"ARFEF",,"Arabis fendleri (S. Watson) Greene var. fendleri ",Fendler's rockcress
"ARFES",,"Arabis fendleri (S. Watson) Greene var. spatifolia (Rydb.) Rollins",spoonleaf rockcress
"ARFE2",,"Arabis fernaldiana Rollins",park rockcress
"ARFEF2",,"Arabis fernaldiana Rollins var. fernaldiana ",park rockcress
"ARGL",,"Arabis glabra (L.) Bernh.",tower rockcress
"ARGU",,"Arabis gunnisoniana Rollins",Gunnison's rockcress
"ARHI",,"Arabis hirsuta (L.) Scop.",hairy rockcress
"ARHIG",,"Arabis hirsuta (L.) Scop. var. glabrata Torr. & A. Gray",mountain rockcress
"ARHIH",,"Arabis hirsuta (L.) Scop. var. hirsuta ",hairy rockcress
"ARHIP",,"Arabis hirsuta (L.) Scop. var. pycnocarpa (M. Hopkins) Rollins",creamflower rockcress
"ARHO2",,"Arabis holboellii Hornem.",Holboell's rockcress
"ARHOP2",,"Arabis holboellii Hornem. var. pendulocarpa (A. Nelson) Rollins",dropseed rockcress
"ARHOP3",,"Arabis holboellii Hornem. var. pinetorum (Tidestr.) Rollins",Holboell's rockcress
"ARHOR",,"Arabis holboellii Hornem. var. retrofracta (Graham) Rydb.",second rockcress
"ARLA",,"Arabis laevigata (Muhl. ex Willd.) Poir.",smooth rockcress
"ARLAL",,"Arabis laevigata (Muhl. ex Willd.) Poir. var. laevigata ",smooth rockcress
"ARLE",,"Arabis lemmonii S. Watson",Lemmon's rockcress
"ARLED2",,"Arabis lemmonii S. Watson var. drepanoloba (Greene) Rollins",soldier rockcress
"ARLEL",,"Arabis lemmonii S. Watson var. lemmonii ",Lemmon's rockcress
"ARLI",,"Arabis lignifera A. Nelson",desert rockcress
"AROX",,"Arabis oxylobula Greene",Glenwood Springs rockcress
"ARPA35",,"Arabis pallidifolia Rollins",Gunnison County rockcress
"ARPE",,"Arabis pendulina Greene",rabbit ear rockcress
"ARPEP",,"Arabis pendulina Greene var. pendulina ",rabbit ear rockcress
"ARPER",,"Arabis pendulina Greene var. russeola (Rollins) Rollins",russeola rockcress
"ARPE2",,"Arabis perennans S. Watson",perennial rockcress
"ARPU2",,"Arabis pulchra M.E. Jones ex S. Watson",beautiful rockcress
"ARPUP",,"Arabis pulchra M.E. Jones ex S. Watson var. pallens M.E. Jones",beautiful rockcress
"ARSE",,"Arabis selbyi Rydb.",Selby's rockcress
"ARNU2",,"Aralia nudicaulis L.",wild sarsaparilla
"ARRA",,"Aralia racemosa L.",American spikenard
"ARRAB2",,"Aralia racemosa L. ssp. bicrenata (Wooton & Standl.) S.L. Welsh & N.D. Atwood",American spikenard
"ARAM",,"Arceuthobium americanum Nutt. ex Engelm.",American dwarf mistletoe
"ARCY2",,"Arceuthobium cyanocarpum (A. Nelson ex Rydb.) A. Nelson",limber pine dwarf mistletoe
"ARDI3",,"Arceuthobium divaricatum Engelm.",pinyon dwarf mistletoe
"ARDO",,"Arceuthobium douglasii Engelm.",Douglas-fir dwarf mistletoe
"ARVA",,"Arceuthobium vaginatum (Willd.) J. Presl",pineland dwarf mistletoe
"ARVAC",,"Arceuthobium vaginatum (Willd.) J. Presl ssp. cryptopodum (Engelm.) Hawksw. & Wiens",pineland dwarf mistletoe
"ARLA3",,"Arctium lappa L.",greater burdock
"ARMI2",,"Arctium minus Bernh.",lesser burdock
"ARTO",,"Arctium tomentosum Mill.",woolly burdock
"ARCO23",,"Arctostaphylos ×coloradensis Rollins (pro sp.) [patula × uva-ursi]",manzanita
"ARPA6",,"Arctostaphylos patula Greene",greenleaf manzanita
"ARUV",,"Arctostaphylos uva-ursi (L.) Spreng.",kinnikinnick
"ARCO5",,"Arenaria congesta Nutt.",ballhead sandwort
"ARCOC4",,"Arenaria congesta Nutt. var. congesta ",ballhead sandwort
"ARCOL",,"Arenaria congesta Nutt. var. lithophila (Rydb.) Maguire",rock-loving sandwort
"AREA",,"Arenaria eastwoodiae Rydb.",Eastwood's sandwort
"AREAA",,"Arenaria eastwoodiae Rydb. var. adenophora Kearney & Peebles",Eastwood's sandwort
"AREAE",,"Arenaria eastwoodiae Rydb. var. eastwoodiae ",Eastwood's sandwort
"ARFE3",,"Arenaria fendleri A. Gray",Fendler's sandwort
"ARFEB",,"Arenaria fendleri A. Gray var. brevifolia (Maguire) Maguire",Fendler's sandwort
"ARFEF3",,"Arenaria fendleri A. Gray var. fendleri ",Fendler's sandwort
"ARFEP",,"Arenaria fendleri A. Gray var. porteri Rydb.",Porter's sandwort
"ARFET3",,"Arenaria fendleri A. Gray var. tweedyi (Rydb.) Maguire",Tweedy's sandwort
"ARHO4",,"Arenaria hookeri Nutt.",Hooker's sandwort
"ARHOD",,"Arenaria hookeri Nutt. ssp. desertorum (Maguire) W.A. Weber",Hooker's desert sandwort
"ARHOH3",,"Arenaria hookeri Nutt. ssp. hookeri ",Hooker's sandwort
"ARHOP",,"Arenaria hookeri Nutt. ssp. pinetorum (A. Nelson) W.A. Weber",Hooker's sandwort
"ARKI",,"Arenaria kingii (S. Watson) M.E. Jones",King's sandwort
"ARKIC",,"Arenaria kingii (S. Watson) M.E. Jones ssp. compacta (Coville) Maguire",King's compact sandwort
"ARKIU2",,"Arenaria kingii (S. Watson) M.E. Jones ssp. uintahensis (A. Nelson) Maguire",Uinta sandwort
"ARLA4",,"Arenaria lanuginosa (Michx.) Rohrb.",spreading sandwort
